uID,Context,Prompt,Target
SWBD-342,"A: but that is one of my solutions. Uh... B: I know here in Dallas that they have just instituted in the last couple of years, uh, a real long period of time that you can absentee vote before the elections.",they have seen a really high improvement,And I do not think they have seen a really high improvement.
SWBD-343,"A: Because they're, I guess that falls, and one of my other favorite shows is Sesame Street because of the kids. I like that real well. B: Right, well, when my kids were little, I did have a TV set and I did watch a lot of Sesame Street and a lot of Electric Company, as well. A:",they have that on anymore,I don't think they have that on anymore.
SWBD-344,"B: Uh, my son's teacher has twenty-seven students. A: Uh-huh. B: And that's certainly is a lot of students for one person to deal with on an every day basis. Uh A: Yeah.  Perhaps. B:",they have the authority to command the attention of the children,"but more than that, I don't think that they have the authority to command the attention of the children."
SWBD-345,"A: They, probably not enough, but I'm sure I lot of it's filtered down enough to the common folks that they have gotten wind, of what they're missing out on. B: Yeah, I think they're starting to realize,",they have the resources,"but I just don't think they have the resources, if you were to compare, uh, the Americans to the Soviets as far as home computers are concerned or Fax machines and cellular phones, and state of the art equipment that we are so used to."
SWBD-346,"A: And I think that, it's one thing to, uh, voluntarily give it because someone asks. You can always refuse but it's another thing where it's required by law and then they go ahead and take that information and sell it to somebody. You know, B: Right. Uh, That, A:",they have the right to do that,I don't think they have the right to do that.
SWBD-347,"B: And you know, we had all the necessities, so. And I very seldom use a credit card on necessities. I always use it for something I want not something I need. A: Exactly. B: So, A: Yeah, my parents are really good about not using credit cards. They are against it. B: Yeah. A:",they like the fact that he has one,I don't think they like the fact that I have one either.
SWBD-348,"A: But, I'm not real sure that we promised them anything. B: Uh-huh. A: I, that would have been stupid, B: Yeah. A:",they did it,and I don't think we did it.
SWBD-349,"B: And, uh, I think they've all developed kind of an interest in reading also. A: That's re-, yeah. B:",they read all the right things,I'm not saying they read all the right things
SWBD-35,"B: I look at our big green containers, and I say, well, they work fine and I keep mine outside the garage so that I don't have any odors but it's clearly a place where, uh, uh, A: Oh, right. B: it will be interesting to see how well that works and I'm glad the community is doing it. Uh, it's one of those things that kind of has to be forced on people. Uh, I don't know what you saw back, uh, years ago,",they had the recycling going on then that they should have now,"but for me the thing that strikes me is uh, growing up in rural South Dakota where, hey the farmers brought their eggs to town and the local hatchery would candle them and package them is that, uh, in the fifties, uh, you could say we had the recycling going on then that we should have now. Which was all the milk bottles were glass"
SWBD-350,"B: And so that's what they were trying to do with the tax situation. And, of course, that's when he said well you render unto Caesar's what is Caesar's, you render unto God what is God's. A: Right. B: And, uh, you know, of course, there,",they really cared about the answer,"I don't think they really cared about the answer,"
SWBD-351,A: Your turn. B: Okay.,they should abolish it,"Uh, I don't think they should abolish it."
SWBD-352,"B: And they go down the line ten years and then on some little technicality they get out and on the streets again doing the same they did before. A: Uh-huh. B: And, you know, that's about the only thing.",they should do that,"Like for theft and stuff like that or manslaughter, you know, I don't think they should do that."
SWBD-353,"A: Do you think they should spend more? B: Uh, I think they should, actually, although perhaps not an incredible amount more than what they're doing,",they should fund AIDS research,"and I don't necessarily think that they should, uh, fund AIDS research and, in the process, neglect cancer research or whatever."
SWBD-354,"A: Oh, wow! But maybe you shouldn't be held responsible for something you did several years ago. B: So,  I know. A: That's the other thing. I mean a lot of people as kids or, you know, young people get into some things that they get out of later on",they should really have to pay for that forever,and I don't think they should really have to pay for that forever.
SWBD-355,"B: I wish they'd put those, that's why I say, did you stay up late to watch this Red Dwarf. It came on after Doctor Who, on Saturday nights, here at least. A: Uh-huh. B: And it should, of course I li- really it was,",they should show it during prime time,"I don't think they should show it during prime time,"
SWBD-356,"B: Oh, I do too. A: So anyway it's still, B: Uh-huh, uh-huh. ",they should stop her,"And, you know, if she wanted to go to combat, I do not see that they should stop her."
SWBD-357,"B: Uh, I have, uh, I guess a lot of thoughts about the Vietnam War, um, I guess I feel like I was pretty young while it was going on and so there's probably a lot of things I remember and a lot of things that I really didn't have a clue as to what was happening. B: Yeah. A: Um, looking back, like maybe some of the things that I know now, I'm not sure I do believe it was worth the cost in dollars and lives. That was one of the questions that she asked us to think about, because we never went to war.",they were committed to winning the Vietnam War and getting out,I don't think we were committed to winning it and getting out
SWBD-358,"B: I'm sorry. B: Well, I'm in Texas. I just assumed that I had, this is the first call I've done, A: Uh-huh. B:",they were going to reach out to people from all over the country,"and, I didn't realize that they were going to reach out to people from, all over the country."
SWBD-359,"B: um, they try to encourage you to follow a specific curriculum, although you don't have to. A: Uh-huh. B: And then if you have particular religious beliefs they're kind of monitored. You know, they will allow you to, I can't think of any examples but certain religious groups don't want their children in public schools because the influence. And maybe they were a group of Mennonites or something like that. A: Uh-huh. B:",they were in this area,I don't think they're were in this area
SWBD-36,"B: That's right, it's all their fault. A: Well, I mean, it's more our fault than theirs at this point because they saw the light, um, I don't know why they um, were more able than we were",they're just going to start using the things now,"except I think, that they probably just said well, we're just going to start using the things now"
SWBD-360,"B: And I've always been very impressed with the Taurus. It's a really nice car. I think, it's a stylish car both inside and out. It's comfortable to drive. Uh, reasonable performance, and this is out in California where they don't make a car that's got reasonable performance anymore. A: Yeah. B: Uh, I've been real impressed with that. Yo-,",they were putting dual air bags in that car now,"and I didn't realize that they were putting dual, uh, air bags in that car now."
SWBD-361,"A: I, that would have been stupid, B: Yeah. A: and I don't think we did it. Everything else we handled in this seemed to be perfectly right.",they would have done that,I don't think they would have done that.
SWBD-362,"A: I really don't. But no, when the time comes hopefully we'll really look around before I decide on one for my parents B: Uh-huh. A: really do, because I have been raised in one, you know, so there's lot of things I know to look for. B: Yeah. A:",they would want to go where they used to work,"And I don't think they'd want to go where they used to work, either you know."
SWBD-363,"A: Right or wrong? B: Uh, okay, right or wrong, I don't think we can determine whether we were right or wrong, because, you're having to deal with, again, uh, I think we could have made a different agreement back in the late forties era that would have kept of there. A: Uh-huh. ",they'd signed some type of deal like that,"Uh, you know, I didn't realize that we'd signed some type of deal like that."
SWBD-364,"A: Really. If they were to take half of what they spend on that and put it on some economic, you know, intergovernmental or inter United States like programs that one really might. B: Yeah. A: I believe in paying my share, and I don't mind, uh, paying for some of these fringe benefits that people are entitled to. But I just sometimes feel like I'm being used.",they'll be able to do anything about it,"But, uh, again I don't think we'll be able to do anything about it,"
SWBD-365,"B: And as far as like them, uh, entertaining the rights that they should have. A: Uh-huh. B: I mean, we educate them, we feed them, we take care of them and they no sooner get out on the street and they're back in again. A: Uh-huh. B:",they're all bad,"I'm not saying they're all bad,"
SWBD-366,"A: Yeah, huh-uh, and especially not in some of these big cities, like in Dallas I mean they've had, they're up in the top five I think of cities that are getting policeman killed in the line of duty and that's really sad. B: it really is. And I mean, they're the first ones that take the brunt of everything. A: Uh-huh. B:",they're all good,"You know, and I'm not saying that they're all good either, because there's good and bad in everything,"
SWBD-367,"A: Yeah, you're probably right, two years might be a little too long. B: Yeah, and there will be a lot of rebellion in that",they're going to be serving somebody,"and when you get people who have no desire to be there in the first place, I don't think that they're going to be serving anybody."
SWBD-368,A: How did Radio Shack work? B: If you go in and buy anything they want your phone number.,they're going to call him,"And I don't think they're going to call me and ask me how it's functioning,"
SWBD-369,"A: Right. And, see that's my only problem with, uh, making you, um, you know, get the check and everything is, I guess bad guys, if you want to call them bad guys, they are going to get a gun no matter what. B: Uh-huh. A: They're not,",they're going to go to a gun store,"I don't think they're going to go to a gun store or pawn shop and get it the right way when there's a check,"
SWBD-37,"A: Yes, um, I think that Plano has really done a fantastic job. I mean, at least their plans are good. Um, however, I was,",they've had some problem with the recycling on plastic,"maybe you saw in the paper this morning that, um, they've had some problems with, the recycling on plastic,"
SWBD-370,"B: But, I do n't get into uh, the real women libber movement, you know. A: No, I do n't either.",that they're going to prove that men and women are equal,I do n't think they're ever going to prove that men and women are equal.
SWBD-371,B: That's it. A: And that's not one of those things that you can turn the wheel back and reverse everything. B: Uh-huh.,they're going to use it too frequently,"Well, right now our laws are so liberal that, uh, even with the death penalty in effect, I do n't think that, uh, they're going to use it, uh, too frequently, uh, unfortunately."
SWBD-372,"B: So, let's talk about the, uh, wonderful abuses in the State of Pennsylvania of personal property taxes whereby you can purchase something mail order and after the fact, the State of Pennsylvania can find out about it and send you a bill for the sales tax appropriate to that item that you purchased as well as interest and penalties from the time that you bought it. What do you think? Is Pennsylvania kind of out of line there? A:",they're out of line,"Well, actually, I do n't think they're out of line."
SWBD-373,"A: I do too. I believe about ten years ago that we went through a terrible time, but I don't, I believe that they're better now, you know, wh-, B: I think so.",they're shoddy,I don't think they're shoddy
SWBD-376,"B: you know, sometimes I would go over, but you know, it wouldn't hit me in a big way because I knew that, uh, I would have it covered in that respect. A: Right.  Right. That's good.",they've gone that far,"I don't think we've gone that far, to pay it you know, in advance before we spend it,"
SWBD-377,"B: uh, what kind of camping do they like best? Do they like it where they have tents and, uh, do they cook on stoves? A: Um, yes, they've, well, no, actually I remember, they have taken the heavy cast iron dutch ovens and done their cooking there over the fire,",they've taken the stoves,and I don't think they've taken the stoves.
SWBD-378,"A: Well I hadn't either, B: Yeah. A: We hadn't, you know, like I said, we,",they've thought about sending the schedules out,I don't even guess they've even thought about sending the schedules out yet.
SWBD-379,"A: but, it was interesting to, I don't know if they're making them better or not, it's hard to say. I think they more of their parts plastic, which, you know, makes things break easier, but I think the technology is better. B: I think technology is better, I'm not sure. I think you've got a good point with the plastic and that. A: About quality. B:",things are being made better,"I don't think necessarily that, things are being made better uh, you know,"
SWBD-38,"B: That's right. A: Well, that's fun. So, um, let's see, uh, some of the things we do together as a family, we like to play games a lot,",this is funny,"and you may think this is funny,"
SWBD-380,"B: Well, the world changes, so I mean, obviously, kids are not the same now as they used to be. A: Right. B: I mean they're exposed to a whole lot more things. They have a whole lot more, uh, variety of things that they see and do at an earlier age, so life is not maybe as simple as it was at one time, but still, I think it goes back to a commitment by the parents to teach, uh, basic values and basic, uh, respectful uh, -ness of authority. A: Right. B:",this doesn't always get emphasized anymore,"And I just don't think that this doesn't always get emphasized anymore, uh,"
SWBD-381,"A: Good morning. Um, I mean, if I start this I just wanted to say that, um, one of the things that I don't think we really understood about the middle eastern situation is that they're a totally different type of people than we are, and I mean they think differently and their idea of what is justice is totally different from ours. and right now, I think that that's been proven in the fact that, um, they have just, well, anyway, I just think that, you know, the United States policy over there, I think we should just leave them alone. I really do. in a major way because um, that whole region over there, I think needs to settle its own differences within itself. B: Yeah. A: And that's the course that they should go, I mean, you know, we can maybe help them a little bit, prompt them,",this intervention at such high levels should be going on,but I don't think this intervention at such high levels should be going on.
SWBD-382,"B: and, you know, they just love kittens. A: Yeah. B: They just are fascinated. A: Oh, yeah. B:",this is a cat,So she doesn't know that this is a cat yet.
SWBD-383,"A: Yeah, but, uh, I guess most of the things that happen around here are pretty, uh, innocuous. Although, uh, from what I hear in the news, and I saw an episode of the TV show, COPS uh, one time that was in Pittsburgh, B: Uh-huh. A: and, uh, it did surprise me, because, you know, they were doing drug arrests and things like that,",those things happen too often,"but I don't really think those things happen too often because, like I said, from what's reported in the news, at least, it's not all that common."
SWBD-384,"B: Oh, you are in New York right now? A: Yeah. B: Oh. I'm in Texas.",this was from all over the whole country,I didn't know this was from all over the whole country.
SWBD-385,B: And it's just too bad that we couldn't see that. A: I just have a feeling that the military involvement isn't over yet. That I still feel like there's more to come.,this whole issue is settled,I don't think this whole issue is settled as far as we're concerned.
SWBD-386,"A: People are always mo-, you know, one out of every seven people moves every year. Uh, that is almost a fourteen percent turnover every, you know, B: Uh-huh. A: if you compound that, uh, eh- eh, if it is difficult to register to vote, that would remove your eligibility to vote. B:",voter registration is difficult enough to prevent people who are motivated in the first place,"But I do not think it is difficult enough to prevent people who are motivated in the first place, or, who are not just motivated who really believe that their voice is heard."
SWBD-387,"B: and at that point, the warehouse was over across the road and it wasn't air conditioned, and, we were there like in the middle of the summer, it's unair-conditioned, it was dusty and dirty, uh, there was like a fan at the very end of the row and that was it. And so, we didn't really know we weren't supposed to, we thought TI dress code was just dress appropriate to your job, A: Uh-huh. B: we wore shorts.",wearing shorts was a big no no,"We didn't know that was a big no, no."
SWBD-388,"A: Because, I know that now there, they want the armed forces to recognize that women can serve in combat roles. B: Uh-huh, uh-huh. A: And the only, uh, branch in the armed services that seems willing to do that is the Air Force. And, uh, I spoke because women were flying missions uh, in the Persian Gulf war. B: Huh.  Yeah, yeah. A:",women are capable of doing the job,But I know some of the other services do not think that women are capable of doing the job.
SWBD-389,"A: It was just a side benefit. B: Yeah, yeah, because, I'm not big or anything, but I'm not in great shape, But when I worked out, I got in pretty good shape. I didn't build up muscle, though, I just got real good and toned. A: Yeah. B:",women look good with muscles,I don't think women look good with muscles.
SWBD-39,"A: That's good. They say, B: And they get along real good.",dog will lick this kitty,"I said if Tom could see dog lick this kitty, he'd flip."
SWBD-390,"A: and, they seem pretty, you know, they don't have the hard body. They don't have that perfect look, and an awful lot of exercise is sort of image conscious. But you know, they live to a hundred and ten some, you know, B: Yeah, A: And, that's, B:",a lot of that is diet  too,"Well, don't you think a lot of that is diet too?"
SWBD-391,"B: All right, well. A: Um, short term, I don't think anything's going to be done about it or probably should be done about it. B: Right. ",anything should be done in the short term,"Uh, are you saying you don't think anything should be done in the short term?"
SWBD-392,"B: and the new cars is, hardly anything. A: Yeah, they're better, but how about all the trucks and buses that are out there. Uh, when was the last time you saw a truck that didn't belch, smoke, or, uh, B: Yeah,",the trucks are out of tune,but doesn't that just mean they're out of tune.
SWBD-393,"A: that's the whole point. There are so many games in a year that they've got to have repeat customers. B: Yeah. A: They can't afford not to, and, you know, that's one of the things that I think Saint Louis has done, um, I mean, you know, their ticket prices are, you know, I guess as high as anybody else's but somehow or another they, attract, uh, so many people from, I mean it's a small market and yet they attract as many if not more than uh, uh, most, other cities, so. B: Yeah,",there are older fans there,but don't you think there are older fans there.
SWBD-394,"A: I do too, so she couldn't possibly turn them out like some of these popular writers, B: Huh-uh. A: but oh, her books are just incredible.",they've ever made a movie,"I don't think they've ever made a movie, do you?"
SWBD-395,"A: and the ones that test positive have to retest after a certain period of time. B: Right. Well, do you think that should be implemented in the work place",a manager or supervisor should have the right to send someone to be tested,". You know, as like a manager or supervisor thinks or has suspicion that someone is using drugs, do you think they should have the right to send them to be tested."
SWBD-396,"B: Right. And I'm sure that would make a big difference, too. You know, you've got, A: Yeah. Well, what about a voluntary program?",a voluntary program would be a good idea,Do you think that would be a good idea?
SWBD-397,"B: I can understand that very easily. I've had a class on, um, R Base and also in Paradox A: Uh-huh. B: and both of those seem very easy to use compared to D Base. A: Uh-huh.",D Base is more flexible,Do you think D Base is more flexible or allows you to do more.
SWBD-398,"B: You know, how can you help depending on the day care center, you know, A: Yeah. B: you got to when you hear about all the horrible things that happen in day care centers,",day care centers are always like a family owned center,"have you ever noticed they're always like a family owned center where the mother and the daughter and the son run it, you know, kind of thing."
SWBD-399,"A: It's no more costly than renting one. The last, see I went about two or three weeks ago and saw FX TWO and that is a really good movie, if you like special effects, kind of gory and lots of, you know action. B: Uh-huh.  I have not done that one, I don't know if I have even heard of that one. A:",he doesn't follow performers,"Um, do you know that I don't follow performers,"
SWBD-4,"B: So again, it never really penalizes, the company doing the wrong. A: Right. That will, B: They can go right on doing the same old thing they always used to. A: Huh. B:",some practice is wrong,"And if they know some practice is wrong, you know,"
SWBD-40,"A: And you also get a lot of, uh, juries are extremely, uh, and from what I hear, I have some friends who do expert witness testimony and they say that, uh, juries are extremely vulnerable to, uh, sort of emotional pitches, you know, the prosecutor will want to, oh, I don't know show the mugging victim, you know, show the nice person he was and what a family life, and basically get the jury to be very sympathetic with the victim, or, uh, if it's a corporation, that was, uh, you know, harming some individual or something like that, they get very much, well, you know, it's just a big faceless corporation. let's make them pay as much as possible. Things like that. B: Uh-huh. A: So, not, I mean, I'm,",a judge would necessarily be much better than a jury,"the problem is I can't guarantee that a judge would necessarily be much better than a jury,"
SWBD-400,"A: Now the best, the supporting actor, he was good, but from what I heard, the guy who got it was better, so you know, I can see that. B: Yeah. A: But, oh, B:",her daughter would like it,You think my daughter would like it?
SWBD-401,"A: in a lot of parts, yeah. I know Texas is supposed to be flat, but you know, down by the Denison Dam there's a lot of, uh, B: Uh-huh.  Sherman and Denison,",her grandparents live in Durant,do you know my grandparents live in Durant?
SWBD-402,"A: Um, yeah, I guess that's not an easy solution. there's no easy solution for that. B: Uh-huh.  I don't know that there is an easy solution, but if you could find a way to prevent some of it, and I'm not sure what it would be. It would be money better spent than, A: Uh-huh. B:",it costs more to keep an inmate on death row that it does to send a kid of Harvard,do you know it costs more to keep an inmate on death row than it does to send a kid to Harvard?
SWBD-403,"B: And also I just think it gets a lot, I'm a big, uh, supporter of personal freedoms and personal privacies, and I think that it just moves down along a line that I really would find bad if most people went down that line into regulating employees' lives outside of work, you know, there's already talk of people, well, we're not going to hire you if you smoke. Well, you know, I can see how they can say in the work place you don't want them to smoke, but when somebody leaves work, I don't think that it's the employer's right to regulate their life style at all. A:",it should be illegal for an employer to do this,"Well, do you think it's, should be illegal for an employer to do this"
SWBD-404,"B: and, um, it makes a difference, I, and just the social values, A: Well, I've just,",it will swing back the other way,"do you feel it will swing back the other way,"
SWBD-405,"B: So am I. A: Are you, B:",it's kind of coming back around to that,"You know, I think it's kind of coming back around to that, don't you,"
SWBD-406,"B: the Arabs all of a sudden uh, are cheering for Baker on his drive to reconcile relations with the Israelis, so it's like, A: Well, Baker is really not very much pro Israel. B: Yeah I, A:",John Sununu is half Arab,"And did you know John Sununu is, uh, half Arab?"
SWBD-408,"B: how'd you like to own a piece of property where your lake is going sour because of acid rain. A: Right.  Right. B: It's, uh, really a serious issue for those of us up in this, uh, sector up here. A:",most of the smog or air pollution comes from vehicles,"um, or do you hypothesize that most of the, uh, smog or air pollution comes from vehicles"
SWBD-409,"B: I think it's up to individuals too, to ask automakers for less pollutant vehicles. A: Yeah,  Yeah, I think you need a vehicle something like, uh, Ralph Nader, Nader's Raiders, uh, or, uh, uh,   R P, which has a lot of members. Uh, if you can get those types of groups. B: Yeah.  Uh-huh. ",new vehicles are a big problem,Do you really think that new vehicles though is a big problem.
SWBD-41,"B: I think for serial murder it is warranted because if a person who would do something like that in cold blood, A: Uh-huh.  Uh-huh.  Needs to be punished or, uh, eliminated from society. B:",a serial murderer wouldn't escape from prison and do it again,"I mean, you can't guarantee that they wouldn't escape from prison and do it again."
SWBD-410,"B: Um, gee, I don't, I mean, I guess it's the stuff that comes out of automobile exhaust, you know, they say in the paper nitrous oxides and ozone and all that. A: Right. B: So, I believe them but I'm not a chemist. A:",nitrous oxides and ozone are bigger contributors than things like acid rain,"uh, do you think that those are bigger contributors than things like acid rain and some of the pollutants that come from, uh, industrial areas, factories and so on?"
SWBD-411,A: Okay. B: Okay.,only fifty percent of the people actually vote,"Well, uh, do you believe only fifty percent of the people actually vote?"
SWBD-412,"A: Well what did you think of Reagan as a president? B: I just thought he was really inept. I don't think he did anything at all. they just kind of sat him up there like a puppet and the people that were, A:",Reagan won from Carter because of the hostages that were held at that time,"Do you think he won from Carter because of um, the hostages that were held at that time?"
SWBD-413,"A: Well I spent three years in Germany, so I'm not too thrilled with the whole thing anyway. A: But I got used to it, it was really strange, I mean, when we came to San Antonio it was just swelter and then we got used to it and then we went up to Dallas and it was just, it's not that it's just hot or dry, it's just not very comfortable, it just, B: Her-,",San Antonio is more comfortable than Dallas,do you think San Antonio is more comfortable than Dallas.
SWBD-414,"A: Boy that really takes someone who is bold to do that. B: Well, yeah, it's pretty bad. A:",security is very good in a town home,"Well, now, do you find that security is very good in a town home?"
SWBD-415,"B: is that good? You know, I've seen that so many times, strawberries dipped in chocolate but I've never tried it, are they really good? A: Yeah, you know, if you get a sweet strawberry they're much better, but if you get a sour strawberry, B:",sour strawberries don't mix well with chocolate,"Oh, I bet it doesn't mix well, does it?"
SWBD-416,"B: All right, well. A: Um, short term, I don't think anything's going to be done about it or probably should be done about it. B: Right. ",speaker A doesn't think anything should be done in the short term,"Uh, are you saying you don't think anything should be done in the short term?"
SWBD-417,"B: No, not really. Uh, the only thing that annoys me is when, uh, people call and uh, you have solicitation calls. A: Uh-huh. B: That's the only thing that bothers me. That's not really invading my privacy. A: Right. B:",speaker A's privacy is being invaded,"Uh, do you feel that yours is invaded?"
SWBD-418,"B: Oh, yeah, it's been beautiful this last week but, A: I could do with a little less wind, but I think the temperature has been pretty good so far for working outside. B: Yeah. A:",speaker B does most of her crocheting or knit work around Christmas time,"Do you find you do most of your, uh, crocheting or your knit work around Christmas time?"
SWBD-419,"B: I think that probably was the difference in that game. A: Uh-huh. B: Because it really could have gone either way. Down to the end, you know. A:",speaker B thinks that the Lakers will win,"So do I take it that you think though that the Lakers uh, will win"
SWBD-42,"A: I thought Carter was good too, and that was, yeah, B: Did you? I always liked him, I thought he was great at the time and I just couldn't get over the fact that Reagan beat him.",Carter got voted out,"you know, that I just couldn't believe that he got voted out."
SWBD-420,"A: I do not have one in my home. I use one all day at work, but I don't have one at home. B: Do you wish you,",speaker A uses it a lot,do you find you use it a lot?
SWBD-421,"A: Well I, uh, when is your next one, uh, scheduled now. B: Well it's like, the last one was my high school graduation the next one was when I graduated from college, so I guess about two more years. A: Yes, well,",speaker B will have a baby to take back with her,and do you think you'll have a baby to take back with you.
SWBD-422,"B: it's also a way of relieving stress. My wife kind of laughs, at me that anytime I get stressed out I just go out in the garage and we've got more book shelves. A: Well, I'll have to come and see them. That sounds like a good idea. I, you know, and that is right, it is out of necessity because lot of the things uh, well, we can't be able to afford, but also I sometimes think that, uh, I enjoy doing that and I like to get out and, uh, to work with my hands and, uh, sounds like you got some real nice tools, too.",speaker B would be able to do some more if he had more tools and different tools,Do you think you would be able to do some more if you had more tools and different tools?
SWBD-423,"B: Yeah, it's called VCX or something like that. Also called Delta Clipper, which is a decent name for something like that. A: Wow.  Well, I don't know.",speaker B would go up in space if he had a chance,"you think you'd, uh, go up in space if you had a chance?"
SWBD-424,"B: Yeah, it isn't, there is not much out there that is fair, that's for sure. A: Right. B: Huh. I will agree to that. A:",speaker B's taxes in Wisconsin are pretty high,"I think your taxes in Wisconsin are pretty high. if I am not mistaken, aren't they?"
SWBD-425,"B: Mile a Minute. A: Well, I'm not sure what she does I, first thing that comes to mind is some kind of chain stitch because she starts and goes all the way across, you know, back and forth until she winds up with this big piece of afghan.",that is standard knitting,"I guess that is your standard knitting, isn't it?"
SWBD-426,"B: Oh, I see. So, do you... A: and the ones that test positive have to retest after a certain period of time. B: Right.",that should be implemented in the work place,"Well, do you think that should be implemented in the work place"
SWBD-427,"B: Right. And the parents fund them for the whole year and a half that they're gone. A: uh, it's interesting. It gets them away from home and gets them to do something useful, although the kids today, though, it seems almost that their concern for money, we were doing some investigating colleges and said the kids are much more interested today in trying to find a job, study something that will give them a job as opposed to, be curious as to if, if there was mandatory, you could choose the option of either a mandatory military service or voluntary,",that would be reasonable,do you think that would be reasonable?
SWBD-428,"A: Uh, I saw Seven Eleven that was hiring. B: Well, I'm sure with the new, uh, contract awarding",the contract went to Lockheed,"I think it went to Lockheed, didn't it?"
SWBD-429,"A: I haven't really noticed them doing that, but whatever, again I don't watch TV news that much now. If I had access to CNN, I would watch TV news more. Uh, you know, but I don't usually. B: Yeah, I don't have access either. Although, I did at one time and it was, I did during the Gulf War and it was addictive. A: Yeah.",the Gulf War coverage would be kind of an abnormality,"did you think that well, the Gulf War coverage would be kind of, uh, an abnormality?"
SWBD-43,"A: Sure. Oh, great. That is wonderful. B: So, A: Yeah. Well, Dallas, uh, we lived in Minneapolis. Uh, we moved here about ten months ago. And Dallas is pretty, uh, well, we live in north Dallas which is near a suburb called Plano. So we are out of the city, but uh, it is bad everywhere in terms of, uh, you know, the handgun situation, um, the number of rapes, the number of muggings.",Dallas is not as bad as New York,"Just, it is, I would not say it is not as bad as New York,"
SWBD-430,"A: And, uh, I don't know, it leaves a lot of time out for family and things like that. In other words, they just prioritize their lives differently. But I think that has a lot to do with economic situation. B: Yes. What about like as far as, uh, social changes in the individual?",the individual has as much time as they did ten or twenty years ago,"Do you think that the individual has as much time as they did, let's say, ten, twenty years ago?"
SWBD-431,"B: And, uh, granted some people need to be compensated if they have really been wronged, you know. A: Well, how do you feel about setting, like, well, for example, uh, or some incident where someone loses a limb. ",the jury should have a dollar figure for losing an arm,"Do you think the jury should have a dollar figure for losing an arm, a dollar figure for losing different body parts?"
SWBD-432,"A: That most of it is plea bargained, uh, half way through or most of the cases are plea bargained anyway. B: Right. A: But, uh, uh, how do you feel uh, about the jury system itself?",the jury system should be changed,do you think that should be changed?
SWBD-433,"A: In Richardson, we're in Plano here. B: Oh, okay. A: I have a daughter in middle school, and, uh, I know there aren't very many, she has a few friends that have moms who are still at home,",the kids are left alone too much,"but do you ever see problems, you know, that you feel you know, that the kids are left alone too much,"
SWBD-434,"B: I think that probably was the difference in that game. A: Uh-huh. B: Because it really could have gone either way. Down to the end, you know. A:",the Lakers will win,"So do I take it that you think though that the Lakers uh, will win"
SWBD-435,"B: That's right. Well, even if it's not technical. If it's, uh, some social thing or whatever. It doesn't matter. If I am an expert in it, they usually make mistakes which makes me think I'm not expert in it. They're telling me lies. A: Yeah. Yeah. by mistakes, do you mean just like honest mistakes",the mistakes are deliberate sorts of things,or do you think they are deliberate sorts of things?
SWBD-436,B: and both of those seem very easy to use compared to D Base. A: Uh-huh. Do you think D Base is more flexible or allows you to do more.,the others are pretty much compatible these days,Or do you think the others are pretty much compatible these days?
SWBD-437,"B: But I think with the way the future is, um, economy wise, I don't think it's going to be realistic. A: I know. Unfortunately, that's probably true.",the parents spend quality time with their kids,"Um, do you think the parents spend quality time with their kids"
SWBD-438,"A: And, let's see, twenty years ago, I guess we were just beginning to get into what they were calling uh, the sex revolution uh after the pill B: Yeah. A: and, uh, uh, freed people up from worries about, uh, illegitimate pregnancy and, I guess in the seventies is the time when that was supposed to have exploded. Thirty years ago there was no pill. B: Uh-huh.",the pill has caused a lot of pressure on younger kids today,"You think that's caused a lot of pressure on, like younger kids today, to make choices that they probably shouldn't have to make?"
SWBD-439,"B: although in my case I might have been more, uh, sympathetic with the person who got caught, I don't know. A: Uh-huh.  So, uh, were the, uh, sentences that the judge handed out what you thought to be fair, or would,",the sentences would have been different,"if you were deciding, do you think that they would have been different."
SWBD-44,"B: the best of every type of music. A: Right. B: Because, I mean, there are some, I mean, I li-, there are some, you know, types of heavy metal that I really like,",he completely likes heavy metal,but I wouldn't say that I completely like heavy metal.
SWBD-440,"A: Go ahead. B: Okay,",the Soviet Union is still a threat to the civilized western world,"do I still feel that the Soviet Union, as such, is still a threat to the civilized western world?"
SWBD-441,"B: Yeah, I think that, um, in the future, um, the family unit as it once was known, is going to be nonexistent. what do you think? A: About? B: That as far as do you think there's going to be still a family unit",the trend is going more towards single parenting,"or do you think that, um, the trend is going more towards single parenting?"
SWBD-442,"A: Then that would, yeah. B: it will bother me. A:",the water aerobics would be probably the best thing for speaker B,"I guess then the water aerobics would be probably the best thing for you, wouldn't it?"
SWBD-443,"B: I've driven through it several times. Uh, we skied California a bunch when we lived out there, uh, um, and, of course, we grew up in Minnesota, A: Uh-huh. B: and we do lot of cross country skiing there. A: Oh, yeah,.  Yeah, great.",the weather is typical for this time of the year,"Well, do you think the weather is typical for this time of the year?"
SWBD-444,"B: Okay. Uh, generally I get, uh, you know, most of my news, uh, in the, you know, weekly magazines like TIME, Newsweek and, uh, US News and World Report. with occasional smatterings of, uh, you know, THE Wall Street Journal and, of course, the local paper. B: Uh-huh. A: But, uh, my only complaint is I really don't enough time to look at the articles every day and go through a paper, you know, exhaust the details. So that's why I concentrate on weekly magazines. B:",the weekly magazines provide speaker A with as much detail information as she'd like,Do you think that the weekly magazines provide you with as much detail information as you'd like?
SWBD-445,A: I think there really is. B: It's kind of an easy thing to talk about. A:,the work force would be the main,"Oh, I guess the work force would be the main, wouldn't it."
